--- Pendolo di torsione ---
Tempo,Forzante,Pendolo
4,260	27,291	0,215
4,280	25,373	0,215
4,300	23,058	0,227
4,320	20,437	0,225
4,340	17,515	0,228
4,360	14,325	0,219
4,380	10,919	0,215
4,400	7,391	0,202
4,420	3,749	0,188
4,440	0,038	0,169
4,460	-3,663	0,150
4,480	-7,326	0,133
4,500	-10,903	0,107
4,520	-14,255	0,079
4,540	-17,461	0,053
4,560	-20,373	0,026
4,580	-23,031	0,001
4,600	-25,309	-0,024
4,620	-27,253	-0,053
4,640	-28,800	-0,077
4,660	-29,896	-0,103
4,680	-30,572	-0,125
4,700	-30,792	-0,150
4,720	-30,621	-0,170
4,740	-29,971	-0,187
4,760	-28,913	-0,200
4,780	-27,366	-0,218
4,800	-25,470	-0,219
4,820	-23,214	-0,228
4,840	-20,598	-0,226
4,860	-17,655	-0,233
4,880	-14,480	-0,221
4,900	-11,107	-0,217
4,920	-7,562	-0,203
4,940	-3,899	-0,194
4,960	-0,183	-0,175
4,980	3,523	-0,161
5,000	7,197	-0,131
5,020	10,742	-0,117
5,040	14,164	-0,092
5,060	17,365	-0,063
5,080	20,308	-0,034
5,100	22,988	-0,008
5,120	25,266	0,022
5,140	27,215	0,053
5,160	28,751	0,074
5,180	29,890	0,100
5,200	30,594	0,122
5,220	30,830	0,148
5,240	30,653	0,165
5,260	30,019	0,181
5,280	28,956	0,197
5,300	27,473	0,210
5,320	25,615	0,220
5,340	23,343	0,226
5,360	20,754	0,226
5,380	17,848	0,227
5,400	14,695	0,223
5,420	11,317	0,220
5,440	7,788	0,205
5,460	4,157	0,191
5,480	0,451	0,177
5,500	-3,239	0,159
5,520	-6,918	0,137
5,540	-10,484	0,113
5,560	-13,911	0,086
5,580	-17,102	0,061
5,600	-20,072	0,032
5,620	-22,714	0,010
5,640	-25,083	-0,022
5,660	-27,049	-0,047
5,680	-28,644	-0,076
5,700	-29,772	-0,101
5,720	-30,545	-0,125
5,740	-30,787	-0,149
5,760	-30,631	-0,167
5,780	-30,073	-0,183
5,800	-29,025	-0,200
5,820	-27,538	-0,216
5,840	-25,685	-0,223
5,860	-23,493	-0,229
5,880	-20,877	-0,232
5,900	-17,966	-0,232
5,920	-14,856	-0,228
5,940	-11,473	-0,222
5,960	-7,949	-0,208
5,980	-4,286	-0,197
6,000	-0,580	-0,179
6,020	3,137	-0,163
